Feature,LIME_Score,LIME_Rank
sc,0.3149433402969605,1
rbcc,0.09543923267482024,2
ba,0.015063364313179124,3
cad,0.014841454443143503,4
pc,0.013888714444562515,5
ane,0.013874806679100293,6
appet,0.012211197777076839,7
pcc,0.01101842606638534,8
rbc,0.010729858513695336,9
pe,0.010643910281568206,10
dm,0.010129018884763842,11
htn,0.007363467435920532,12
pcv,0.004717974200142467,13
sod,0.004347175067365956,14
al,0.004140274312579346,15
wbcc,0.003861981015503763,16
hemo,0.0038386961630511845,17
pot,0.0037839421230565053,18
bgr,0.003673055219751841,19
bu,0.0034130519002784077,20
sg,0.0031437950907353147,21
bp,0.0031232562279723632,22
age,0.003089067094018056,23
su,0.0029318809554103775,24
