Feature,SHAP_Score,SHAP_Rank
al,0.07533506001121372,1
rbcc,0.05735657378857301,2
sg,0.043090698631288143,3
pcv,0.03976595174642591,4
sc,0.024058836343712222,5
pot,0.021846749102154308,6
bu,0.020276285547917786,7
htn,0.013364754403507834,8
wbcc,0.012983694256953893,9
sod,0.010553474529694443,10
dm,0.009865162117654981,11
pc,0.009746964728779173,12
age,0.008836371495497436,13
bp,0.007520553835537996,14
hemo,0.005463449399526116,15
bgr,0.004735075045141317,16
pe,0.0044530322033220614,17
pcc,0.004240042849742164,18
appet,0.003122680398135362,19
cad,0.003063823045675141,20
rbc,0.0025902734103437014,21
su,0.00200785759799279,22
ane,0.0018455688420543745,23
ba,0.0018392495561073048,24
